Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Abs. Errors
[1_ 39_ 261_ 276_ 319_ 427_ 456_ 528_ 529_ 539_ 544],1.5622,DE with ANN,11,0.2752,0.2143,0.3019,1.4534,1.1523,0.4789
[39_ 117_ 140_ 507_ 514_ 520_ 680],1.548,DE with ANN,7,0.2557,0.1903,0.2833,1.4726,1.1955,0.4789
[39_ 132_ 140_ 160_ 363_ 385_ 450_ 700_ 908],1.582,DE with ANN,9,0.2539,0.1481,0.2473,1.5091,1.2072,0.5211
[20_ 39_ 108_ 140_ 246_ 254_ 421_ 458_ 462_ 556],1.5798,DE with ANN,10,0.2499,0.1868,0.285,1.4708,1.1962,0.493
[39_ 64_ 138_ 140_ 283_ 511_ 566],1.5631,DE with ANN,7,0.2414,0.1739,0.2628,1.4935,1.2105,0.4507
[39_ 140_ 195_ 301_ 363_ 412_ 427_ 462],1.5806,DE with ANN,8,0.2392,0.1531,0.2463,1.5101,1.2203,0.4648
[39_ 73_ 234_ 276_ 395_ 503_ 542_ 572],1.5692,DE with ANN,8,0.2386,0.1866,0.2589,1.4974,1.2182,0.4789
[39_ 73_ 132_ 140_ 151_ 183_ 249_ 492_ 700_ 819],1.6012,DE with ANN,10,0.2364,0.152,0.2174,1.5388,1.2441,0.4648
[36_ 39_ 53_ 175_ 270_ 325_ 359_ 402_ 433_ 488_ 880],1.5975,DE with ANN,11,0.2315,0.1974,0.23,1.5263,1.2623,0.4789
[39_ 64_ 138_ 140_ 283_ 511_ 566],1.5838,DE with ANN,7,0.2311,0.1334,0.1937,1.5619,1.2637,0.4366
[39_ 140_ 276_ 307_ 388_ 413_ 448_ 467_ 496_ 529_ 648],1.6033,DE with ANN,11,0.2282,0.1872,0.2036,1.5523,1.2443,0.4648
[1_ 39_ 261_ 276_ 319_ 427_ 456_ 528_ 529_ 539_ 544],1.6301,DE with ANN,11,0.2271,0.1154,0.202,1.5538,1.2508,0.4366
[20_ 39_ 108_ 140_ 246_ 254_ 421_ 458_ 462_ 556],1.6067,DE with ANN,10,0.2254,0.1568,0.2432,1.5133,1.2284,0.4789
[39_ 61_ 140_ 183_ 341_ 369_ 486_ 676_ 908],1.6035,DE with ANN,9,0.2228,0.144,0.2239,1.5324,1.2427,0.4789
[39_ 117_ 140_ 507_ 514_ 520_ 680],1.5879,DE with ANN,7,0.2213,0.1397,0.2024,1.5534,1.2584,0.4648
[39_ 140_ 276_ 413_ 467_ 496_ 529],1.5769,DE with ANN,7,0.2207,0.1726,0.1921,1.5635,1.2579,0.4789
[39_ 55_ 146_ 283_ 419_ 441_ 492_ 529_ 691_ 699_ 852],1.6297,DE with ANN,11,0.2191,0.1309,0.243,1.5134,1.2182,0.507
[39_ 82_ 122_ 140_ 225_ 352_ 520_ 532_ 680],1.6062,DE with ANN,9,0.218,0.1451,0.2237,1.5326,1.2508,0.4648
[38_ 39_ 53_ 95_ 111_ 194_ 325_ 390_ 444_ 869],1.6028,DE with ANN,10,0.2165,0.1836,0.2331,1.5233,1.2453,0.493
[39_ 72_ 73_ 234_ 276_ 489_ 503_ 521_ 542_ 572],1.6093,DE with ANN,10,0.2165,0.1656,0.219,1.5372,1.2578,0.4507
[39_ 137_ 140_ 163_ 214_ 254_ 281_ 283_ 294_ 343_ 351_ 462_ 548],1.6528,DE with ANN,13,0.2141,0.1317,0.1944,1.5612,1.2669,0.4648
[39_ 133_ 140_ 430_ 483],1.5835,DE with ANN,5,0.2131,0.1172,0.1974,1.5583,1.2617,0.4789
[39_ 140_ 276_ 307_ 388_ 413_ 448_ 467_ 496_ 529_ 648],1.6227,DE with ANN,11,0.2117,0.1636,0.1782,1.5769,1.2674,0.493
[33_ 39_ 164_ 294_ 392_ 421_ 458_ 574_ 699],1.6145,DE with ANN,9,0.2086,0.1386,0.2386,1.5179,1.2413,0.4789
[39_ 73_ 234_ 276_ 395_ 503_ 542_ 572],1.588,DE with ANN,8,0.2081,0.1891,0.2149,1.5413,1.265,0.4507
[39_ 127_ 133_ 139_ 396_ 419_ 514_ 650_ 690],1.6222,DE with ANN,9,0.2079,0.118,0.2334,1.523,1.2474,0.4507
[39_ 276_ 295_ 355_ 542_ 700],1.571,DE with ANN,6,0.2076,0.189,0.2248,1.5316,1.2508,0.4507
[39_ 72_ 73_ 234_ 276_ 489_ 503_ 521_ 542_ 572],1.6241,DE with ANN,10,0.2057,0.1433,0.1943,1.5614,1.2762,0.4507
[39_ 49_ 139_ 140_ 192_ 251_ 254_ 356_ 384_ 422_ 483_ 513_ 518],1.6632,DE with ANN,13,0.2053,0.119,0.1825,1.5727,1.2726,0.4648
[39_ 117_ 140_ 507_ 514_ 520_ 680],1.6016,DE with ANN,7,0.2037,0.1324,0.1759,1.579,1.2776,0.4507
[39_ 65_ 69_ 285_ 292_ 299_ 352_ 429_ 448_ 880],1.6229,DE with ANN,10,0.2036,0.1506,0.2305,1.5259,1.2564,0.4507
[39_ 138_ 261_ 283_ 384_ 484_ 511],1.6039,DE with ANN,7,0.2023,0.1282,0.2242,1.5321,1.2521,0.4366
[39_ 72_ 73_ 234_ 276_ 489_ 503_ 521_ 542_ 572],1.6238,DE with ANN,10,0.2021,0.1508,0.187,1.5685,1.2871,0.4507
[39_ 82_ 140_ 352_ 438_ 514_ 520_ 532_ 680],1.6265,DE with ANN,9,0.1996,0.1207,0.1722,1.5826,1.2876,0.4507
[39_ 140_ 418_ 699_ 700],1.5957,DE with ANN,5,0.1974,0.1103,0.1698,1.5849,1.2906,0.4648
[39_ 140_ 220_ 254_ 256_ 345_ 411_ 459_ 460_ 546_ 550_ 871],1.6668,DE with ANN,12,0.1971,0.0945,0.1423,1.611,1.2995,0.4648
[39_ 140_ 183_ 298_ 341_ 363_ 369_ 486_ 676_ 908],1.6372,DE with ANN,10,0.1952,0.1253,0.1704,1.5843,1.2844,0.4507
[39_ 73_ 234_ 276_ 395_ 503_ 542_ 572],1.6176,DE with ANN,8,0.1919,0.1337,0.1753,1.5797,1.2865,0.4648
[39_ 64_ 138_ 140_ 283_ 511_ 566],1.6158,DE with ANN,7,0.1917,0.1131,0.1648,1.5897,1.2904,0.4648
[31_ 39_ 140_ 211_ 283_ 366_ 411_ 422_ 511_ 564],1.6594,DE with ANN,10,0.1872,0.0763,0.1319,1.6207,1.314,0.4789
[0_ 39_ 99_ 122_ 129_ 140_ 368_ 371_ 694],1.6398,DE with ANN,9,0.1866,0.106,0.2001,1.5557,1.2717,0.4366
[39_ 64_ 127_ 140_ 254_ 298_ 302_ 319_ 405_ 411_ 483_ 489_ 518_ 542],1.7091,DE with ANN,14,0.1856,0.0567,0.1397,1.6134,1.3088,0.4366
[39_ 117_ 140_ 507_ 514_ 520_ 680],1.6319,DE with ANN,7,0.184,0.0795,0.1278,1.6245,1.3203,0.4507
[39_ 64_ 120_ 121_ 209_ 342_ 356_ 359_ 531_ 649_ 906_ 908],1.6637,DE with ANN,12,0.1839,0.1266,0.2409,1.5155,1.2311,0.4789
[39_ 75_ 102_ 147_ 175_ 188_ 208_ 342_ 457_ 510_ 871_ 939],1.6665,DE with ANN,12,0.1826,0.1211,0.2474,1.5091,1.2298,0.493
[39_ 73_ 132_ 140_ 151_ 183_ 492_ 700_ 819],1.644,DE with ANN,9,0.1826,0.101,0.1571,1.597,1.3065,0.4507
[0_ 17_ 39_ 122_ 129_ 140_ 246_ 371_ 694],1.6472,DE with ANN,9,0.1822,0.0924,0.1564,1.5977,1.2945,0.4648
[39_ 140_ 183_ 298_ 341_ 363_ 369_ 486_ 676_ 908],1.6575,DE with ANN,10,0.1821,0.0908,0.1442,1.6092,1.3153,0.4507
[39_ 140_ 226_ 235_ 253_ 275_ 371_ 421_ 676_ 681_ 703_ 906],1.6708,DE with ANN,12,0.1815,0.111,0.1688,1.5859,1.2918,0.4789
[39_ 127_ 133_ 139_ 300_ 447_ 650_ 690_ 699],1.6473,DE with ANN,9,0.1814,0.0936,0.1838,1.5715,1.2854,0.4366
[20_ 39_ 140_ 164_ 176_ 186_ 294_ 392_ 421_ 458_ 574_ 699],1.6861,DE with ANN,12,0.1809,0.0692,0.1192,1.6325,1.3265,0.4507
[34_ 39_ 55_ 75_ 151_ 186_ 219_ 223_ 325_ 364_ 462_ 495_ 510_ 534_ 681],1.7026,DE with ANN,15,0.1805,0.1139,0.1907,1.5649,1.2777,0.4648
[39_ 132_ 140_ 183_ 298_ 341_ 363_ 486_ 676_ 908],1.6513,DE with ANN,10,0.1803,0.1118,0.1605,1.5938,1.2962,0.4648
[39_ 73_ 276_ 295_ 457_ 542_ 700],1.6287,DE with ANN,7,0.1801,0.0961,0.1129,1.6384,1.3293,0.4507
[39_ 124_ 171_ 209_ 319_ 363_ 391_ 446],1.6385,DE with ANN,8,0.1783,0.0975,0.2175,1.5387,1.26,0.4648
[39_ 138_ 140_ 283_ 511],1.6081,DE with ANN,5,0.1775,0.1102,0.1459,1.6076,1.3061,0.4507
[39_ 140_ 176_ 179_ 430_ 461_ 483],1.6241,DE with ANN,7,0.1773,0.115,0.1511,1.6027,1.3067,0.4507
[39_ 73_ 132_ 140_ 151_ 183_ 198_ 249_ 422_ 492_ 700],1.6743,DE with ANN,11,0.1767,0.0808,0.1266,1.6256,1.3341,0.4085
[20_ 39_ 108_ 140_ 392_ 414_ 432_ 556],1.6372,DE with ANN,8,0.1766,0.1045,0.1502,1.6035,1.3101,0.4507
[39_ 99_ 104_ 190_ 212_ 222_ 263_ 276_ 377_ 435_ 515_ 540_ 651],1.6835,DE with ANN,13,0.1762,0.1142,0.1524,1.6014,1.3013,0.4507
[39_ 72_ 73_ 234_ 276_ 489_ 503_ 521_ 542_ 572],1.6558,DE with ANN,10,0.1756,0.1074,0.1257,1.6264,1.3191,0.4507
[39_ 50_ 114_ 140_ 164_ 226_ 301_ 534_ 548_ 549],1.6629,DE with ANN,10,0.175,0.088,0.1366,1.6163,1.3102,0.4648
[1_ 39_ 46_ 104_ 225_ 325_ 359_ 424_ 440_ 509_ 543],1.6597,DE with ANN,11,0.1742,0.1268,0.1705,1.5842,1.2992,0.4789
[39_ 136_ 140_ 153_ 232_ 288_ 301_ 374_ 399_ 534_ 535],1.6745,DE with ANN,11,0.1736,0.0861,0.1414,1.6118,1.3242,0.4648
[1_ 39_ 140_ 148_ 153_ 164_ 226_ 232_ 301_ 399_ 534_ 548_ 549],1.6905,DE with ANN,13,0.173,0.1002,0.15,1.6037,1.3132,0.4507
[39_ 140_ 176_ 179_ 430_ 461_ 483],1.6384,DE with ANN,7,0.1726,0.0811,0.1199,1.6318,1.3301,0.4507
[39_ 50_ 124_ 140_ 201_ 287_ 327_ 337_ 363_ 427_ 446],1.6747,DE with ANN,11,0.1718,0.0886,0.1327,1.6199,1.3177,0.4507
[39_ 137_ 140_ 163_ 214_ 254_ 281_ 283_ 294_ 343_ 351_ 462_ 548],1.6954,DE with ANN,13,0.1711,0.0899,0.1313,1.6212,1.3133,0.4507
[39_ 140_ 163_ 214_ 254_ 281_ 283_ 294_ 343_ 351_ 462_ 548],1.6863,DE with ANN,12,0.1711,0.086,0.1239,1.6281,1.3211,0.4507
[39_ 140_ 163_ 214_ 254_ 281_ 283_ 294_ 343_ 351_ 462_ 548],1.6927,DE with ANN,12,0.171,0.0682,0.1102,1.6408,1.3256,0.4366
[39_ 73_ 132_ 140_ 151_ 249_ 487_ 492_ 543_ 700_ 819],1.6857,DE with ANN,11,0.1701,0.0602,0.1042,1.6463,1.3262,0.4507
[39_ 133_ 140_ 430_ 483],1.6273,DE with ANN,5,0.1695,0.0668,0.1155,1.6359,1.3385,0.4648
[39_ 73_ 234_ 276_ 395_ 503_ 542_ 572],1.6399,DE with ANN,8,0.1688,0.111,0.1349,1.6179,1.3326,0.4507
[16_ 39_ 82_ 122_ 140_ 352_ 484_ 517_ 532_ 680],1.6643,DE with ANN,10,0.1687,0.0956,0.1465,1.607,1.3108,0.4648
[39_ 140_ 438_ 507_ 514_ 520_ 532_ 680],1.647,DE with ANN,8,0.1685,0.0906,0.1339,1.6188,1.3181,0.4366
[39_ 50_ 75_ 140_ 201_ 327_ 337_ 363_ 446_ 466_ 561_ 649],1.6959,DE with ANN,12,0.1681,0.0641,0.118,1.6336,1.3307,0.4507
[39_ 140_ 305_ 388_ 443_ 464],1.6345,DE with ANN,6,0.1681,0.0741,0.1155,1.6359,1.3241,0.4366
[39_ 55_ 74_ 140_ 183_ 301_ 555_ 615_ 816],1.6588,DE with ANN,9,0.168,0.0846,0.1305,1.622,1.3271,0.4648
[20_ 39_ 121_ 140_ 267_ 385_ 414_ 432_ 556],1.6532,DE with ANN,9,0.1679,0.101,0.148,1.6056,1.3105,0.4507
[39_ 132_ 140_ 183_ 363_ 411_ 484_ 908],1.6468,DE with ANN,8,0.1673,0.0932,0.1403,1.6128,1.3128,0.4507
[39_ 74_ 76_ 123_ 140_ 170_ 304_ 435_ 534],1.6754,DE with ANN,9,0.1668,0.0379,0.0831,1.6656,1.3423,0.4507
[35_ 39_ 49_ 118_ 128_ 148_ 166_ 276_ 341_ 395_ 572],1.6702,DE with ANN,11,0.1667,0.1104,0.1394,1.6137,1.3155,0.4366
[39_ 102_ 138_ 154_ 205_ 372_ 408_ 536_ 677_ 696],1.6679,DE with ANN,10,0.1665,0.089,0.1539,1.6,1.315,0.4366
[20_ 39_ 108_ 140_ 392_ 414_ 432_ 556],1.6462,DE with ANN,8,0.1663,0.097,0.1415,1.6117,1.3119,0.4507
[39_ 283_ 381_ 868_ 869],1.6149,DE with ANN,5,0.1656,0.1117,0.2096,1.5464,1.2717,0.4507
[39_ 108_ 111_ 325_ 421_ 443_ 941],1.6339,DE with ANN,7,0.1638,0.1109,0.1656,1.5889,1.3054,0.4507
[39_ 140_ 179_ 205_ 430_ 461_ 483],1.6451,DE with ANN,7,0.1634,0.0782,0.1369,1.616,1.31,0.4507
[39_ 49_ 225_ 325_ 389_ 401_ 410_ 479],1.6476,DE with ANN,8,0.1632,0.0983,0.1612,1.5931,1.3039,0.4366
[39_ 75_ 106_ 108_ 140_ 246_ 254_ 312_ 343_ 392_ 414_ 421_ 458_ 556_ 562],1.7271,DE with ANN,15,0.1631,0.077,0.1173,1.6342,1.3333,0.4648
[38_ 39_ 108_ 261_ 295_ 399_ 421_ 443_ 941],1.6553,DE with ANN,9,0.163,0.1038,0.177,1.5781,1.2934,0.4366
[31_ 39_ 140_ 192_ 211_ 254_ 302_ 366_ 378_ 411_ 422_ 564],1.7063,DE with ANN,12,0.1628,0.0437,0.089,1.6603,1.3512,0.4789
[39_ 117_ 278_ 381_ 384_ 542_ 871],1.6394,DE with ANN,7,0.1628,0.0965,0.2043,1.5516,1.267,0.4648
[31_ 39_ 140_ 211_ 283_ 366_ 411_ 422_ 511_ 564],1.6675,DE with ANN,10,0.1621,0.098,0.1341,1.6186,1.3235,0.4789
[39_ 69_ 100_ 134_ 190],1.6328,DE with ANN,5,0.1614,0.065,0.155,1.599,1.3131,0.4366
[39_ 82_ 140_ 304_ 344_ 352_ 514_ 532_ 680],1.6608,DE with ANN,9,0.1611,0.0912,0.1286,1.6237,1.3294,0.4507
[0_ 39_ 99_ 122_ 129_ 140_ 368_ 371_ 694],1.674,DE with ANN,9,0.1609,0.0527,0.1378,1.6152,1.3186,0.4366
[39_ 73_ 132_ 140_ 151_ 162_ 198_ 249_ 422_ 492_ 700],1.6921,DE with ANN,11,0.1606,0.0586,0.116,1.6355,1.3294,0.4789
[39_ 181_ 235_ 309_ 343_ 345_ 416_ 443_ 513],1.6633,DE with ANN,9,0.1604,0.0852,0.1824,1.5729,1.289,0.4225
[39_ 137_ 140_ 163_ 214_ 254_ 281_ 283_ 294_ 343_ 351_ 462_ 548],1.7071,DE with ANN,13,0.1599,0.077,0.1042,1.6464,1.3405,0.4789
[39_ 43_ 140_ 430_ 483],1.6311,DE with ANN,5,0.1597,0.0735,0.1146,1.6368,1.3251,0.4789