Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Pred Acc
[39_ 40_ 68_ 116_ 234_ 282_ 321_ 325_ 381_ 445_ 481_ 521_ 865],3.188,BPSO with ANN,13,0.4585,0.3583,0.3832,1.3698,1.122,0.5211
[39_ 44_ 103_ 171_ 188_ 288_ 325_ 354_ 445_ 569],2.5871,BPSO with ANN,10,0.4429,0.3272,0.3619,1.3933,1.1405,0.4648
[39_ 52_ 112_ 116_ 120_ 182_ 281_ 325_ 369_ 536_ 694],2.8046,BPSO with ANN,11,0.4267,0.3343,0.3572,1.3984,1.1485,0.4648
[39_ 43_ 99_ 207_ 299_ 305_ 325_ 332_ 546_ 568_ 865],2.8233,BPSO with ANN,11,0.421,0.2993,0.3349,1.4225,1.135,0.4507
[39_ 325_ 444_ 699_ 826],1.425,BPSO with ANN,5,0.4182,0.3039,0.3388,1.4183,1.1364,0.4507
[39_ 93_ 140_ 191_ 244_ 256_ 297_ 329_ 407_ 558_ 562],2.871,BPSO with ANN,11,0.3977,0.2231,0.2863,1.4735,1.1863,0.4648
[39_ 54_ 123_ 133_ 134_ 220_ 302_ 321_ 325_ 341_ 419_ 448_ 695],3.2731,BPSO with ANN,13,0.3977,0.2637,0.3022,1.4571,1.1871,0.4789
[39_ 88_ 148_ 174_ 275_ 325_ 329_ 394_ 421_ 475_ 497_ 542_ 821_ 906],3.485,BPSO with ANN,14,0.3951,0.2628,0.2998,1.4596,1.1762,0.4507
[39_ 48_ 137_ 140_ 178_ 353_ 466_ 560_ 681_ 929],2.6558,BPSO with ANN,10,0.3935,0.246,0.2851,1.4748,1.2088,0.4648
[39_ 40_ 69_ 372_ 377_ 389_ 502_ 651],2.2234,BPSO with ANN,8,0.3928,0.2865,0.2952,1.4643,1.2009,0.4366
[0_ 39_ 122_ 132_ 152_ 160_ 292_ 325_ 496_ 522],2.6305,BPSO with ANN,10,0.3914,0.3128,0.3331,1.4244,1.1588,0.4789
[39_ 80_ 89_ 140_ 168_ 272_ 314_ 347_ 349_ 457_ 497],2.8586,BPSO with ANN,11,0.3913,0.2652,0.2869,1.4729,1.2095,0.4507
[4_ 39_ 199_ 200_ 292_ 301_ 325_ 399_ 428_ 442_ 482_ 520_ 631],3.2708,BPSO with ANN,13,0.3913,0.2805,0.3225,1.4356,1.1605,0.493
[39_ 48_ 140_ 163_ 354_ 498_ 518_ 554],2.2375,BPSO with ANN,8,0.3902,0.2551,0.2637,1.4966,1.2346,0.4225
[39_ 44_ 69_ 70_ 216_ 226_ 251_ 312_ 346_ 352_ 404_ 460_ 479_ 515_ 524_ 677_ 695_ 699],4.3219,BPSO with ANN,18,0.3885,0.2845,0.3001,1.4592,1.1821,0.4648
[4_ 39_ 136_ 140_ 152_ 191_ 205_ 272_ 333_ 340_ 374_ 538],3.0742,BPSO with ANN,12,0.3876,0.2559,0.241,1.5196,1.2622,0.4648
[16_ 39_ 140_ 285_ 307_ 344_ 397_ 416_ 476_ 479_ 816_ 941],3.0719,BPSO with ANN,12,0.3874,0.2617,0.2858,1.474,1.2095,0.4648
[39_ 47_ 140_ 144_ 194_ 316_ 402_ 434_ 501_ 515_ 520_ 539_ 554],3.2957,BPSO with ANN,13,0.3859,0.2292,0.2626,1.4977,1.2209,0.493
[39_ 134_ 140_ 151_ 180_ 250_ 324_ 450_ 475_ 510_ 691],2.88,BPSO with ANN,11,0.3857,0.2216,0.2625,1.4979,1.2249,0.4366
[39_ 45_ 61_ 62_ 141_ 192_ 276_ 311_ 385_ 386_ 393_ 399_ 405_ 453_ 455_ 511_ 816],4.1085,BPSO with ANN,17,0.3851,0.2962,0.3109,1.4479,1.2093,0.4225
[38_ 39_ 49_ 140_ 249_ 311_ 337_ 433_ 510],2.4532,BPSO with ANN,9,0.3838,0.248,0.2805,1.4795,1.205,0.4789
[39_ 67_ 92_ 108_ 164_ 232_ 255_ 280_ 325_ 452_ 512_ 568],3.0668,BPSO with ANN,12,0.3829,0.2823,0.3219,1.4363,1.1495,0.4789
[0_ 39_ 58_ 87_ 89_ 140_ 177_ 201_ 219_ 390_ 456_ 475],3.0933,BPSO with ANN,12,0.3807,0.2205,0.2612,1.4992,1.2168,0.4789
[34_ 39_ 140_ 177_ 306_ 377_ 425_ 444_ 511_ 565_ 871],2.8821,BPSO with ANN,11,0.3789,0.2285,0.2655,1.4949,1.216,0.4648
[39_ 50_ 84_ 140_ 261_ 353_ 442_ 449_ 648],2.4515,BPSO with ANN,9,0.3775,0.2636,0.2989,1.4604,1.1685,0.4789
[39_ 102_ 115_ 194_ 276_ 320_ 349_ 410_ 413_ 523_ 698],2.8556,BPSO with ANN,11,0.3767,0.2985,0.2996,1.4597,1.2153,0.4648
[39_ 111_ 139_ 171_ 216_ 227_ 251_ 270_ 310_ 319_ 324_ 408_ 428_ 570],3.5222,BPSO with ANN,14,0.3767,0.2045,0.2696,1.4907,1.1712,0.4648
[39_ 105_ 276_ 553_ 631],1.4599,BPSO with ANN,5,0.3765,0.29,0.3025,1.4567,1.2014,0.4507
[2_ 5_ 39_ 85_ 136_ 180_ 200_ 276_ 312_ 323_ 398_ 401_ 432_ 434_ 439_ 496_ 839],4.1187,BPSO with ANN,17,0.3751,0.2894,0.313,1.4457,1.1895,0.4648
[30_ 39_ 69_ 76_ 95_ 119_ 156_ 310_ 353_ 425_ 432_ 467_ 542_ 570_ 937_ 940_ 941],4.1228,BPSO with ANN,17,0.3742,0.2816,0.303,1.4562,1.1959,0.4366
[39_ 140_ 174_ 321_ 351_ 398_ 410_ 412_ 439_ 465_ 469_ 839],3.1061,BPSO with ANN,12,0.374,0.2002,0.2696,1.4907,1.2104,0.4648
[39_ 107_ 148_ 200_ 325_ 356_ 433],2.0473,BPSO with ANN,7,0.3739,0.2376,0.2712,1.489,1.2146,0.4789
[39_ 188_ 219_ 325_ 478_ 489_ 928],2.0384,BPSO with ANN,7,0.3717,0.2651,0.303,1.4562,1.1816,0.4648
[39_ 325_ 378_ 441_ 506],1.478,BPSO with ANN,5,0.3703,0.2532,0.2856,1.4742,1.2115,0.4648
[39_ 113_ 126_ 171_ 218_ 276_ 304_ 354_ 405_ 543_ 564],2.863,BPSO with ANN,11,0.3701,0.2919,0.3028,1.4564,1.2057,0.4507
[39_ 52_ 115_ 140_ 158_ 340_ 371_ 384_ 470_ 511_ 519_ 555_ 676],3.3062,BPSO with ANN,13,0.3696,0.2315,0.2485,1.512,1.2429,0.4648
[15_ 39_ 75_ 192_ 276_ 283_ 291_ 437_ 507],2.4589,BPSO with ANN,9,0.3678,0.2619,0.2776,1.4824,1.2051,0.4507
[39_ 56_ 101_ 111_ 276_ 279_ 297_ 305_ 464_ 475_ 516_ 528_ 940],3.2951,BPSO with ANN,13,0.3668,0.2637,0.2827,1.4773,1.2168,0.4366
[5_ 39_ 40_ 74_ 100_ 103_ 146_ 156_ 158_ 233_ 278_ 291_ 293_ 315_ 325_ 354_ 397_ 488_ 491_ 650_ 651_ 690],5.1858,BPSO with ANN,22,0.366,0.2832,0.3269,1.431,1.1726,0.507
[34_ 39_ 58_ 80_ 174_ 196_ 232_ 239_ 263_ 321_ 470_ 543_ 865],3.3083,BPSO with ANN,13,0.3645,0.2352,0.2565,1.504,1.2363,0.4366
[39_ 49_ 57_ 88_ 248_ 276_ 517],2.0426,BPSO with ANN,7,0.3613,0.273,0.2888,1.471,1.22,0.4225
[39_ 61_ 79_ 137_ 250_ 261_ 367_ 373_ 458_ 549_ 564],2.8752,BPSO with ANN,11,0.3606,0.278,0.2674,1.4929,1.2168,0.4789
[39_ 118_ 145_ 276_ 278_ 356_ 384_ 392_ 417_ 492_ 499],2.8834,BPSO with ANN,11,0.3584,0.2613,0.2644,1.496,1.2347,0.4507
[34_ 39_ 60_ 102_ 124_ 162_ 175_ 196_ 255_ 290_ 323_ 350_ 387_ 424_ 425_ 520_ 541_ 566_ 865_ 940],4.7887,BPSO with ANN,20,0.3571,0.236,0.2503,1.5103,1.2049,0.4366
[39_ 272_ 330_ 346_ 425_ 466_ 479_ 699],2.2683,BPSO with ANN,8,0.3528,0.2426,0.2632,1.4972,1.2161,0.4507
[39_ 289_ 310_ 393_ 443_ 458_ 699],2.0661,BPSO with ANN,7,0.3526,0.2265,0.2527,1.5079,1.2161,0.4648
[3_ 39_ 40_ 42_ 109_ 226_ 272_ 276_ 301_ 515_ 530],2.895,BPSO with ANN,11,0.352,0.2433,0.2683,1.492,1.2221,0.4507
[39_ 40_ 69_ 85_ 128_ 148_ 173_ 244_ 271_ 272_ 385_ 419_ 508_ 544_ 573],3.7223,BPSO with ANN,15,0.348,0.2779,0.2737,1.4865,1.216,0.4789
[39_ 47_ 197_ 276_ 281_ 288_ 331_ 494_ 516_ 556_ 941],2.896,BPSO with ANN,11,0.3479,0.248,0.2587,1.5018,1.2299,0.4366
[32_ 33_ 39_ 139_ 159_ 244_ 287_ 488_ 501_ 869],2.703,BPSO with ANN,10,0.3468,0.2085,0.2261,1.5344,1.2487,0.4648
[39_ 55_ 185_ 372_ 465_ 466_ 483_ 506_ 697_ 839_ 865],2.9067,BPSO with ANN,11,0.3459,0.2242,0.2455,1.5151,1.2261,0.4789
[30_ 39_ 139_ 340_ 355_ 385_ 431_ 484_ 499_ 543],2.6999,BPSO with ANN,10,0.3456,0.2185,0.2341,1.5265,1.2499,0.4225
[132_ 270_ 327_ 334_ 463_ 466_ 574_ 864_ 865_ 867_ 938],2.8893,BPSO with ANN,11,0.3456,0.269,0.2698,1.4905,1.2177,0.493
[39_ 54_ 117_ 230_ 236_ 296_ 466_ 483_ 532_ 536_ 692_ 699_ 700],3.3328,BPSO with ANN,13,0.3454,0.2072,0.2397,1.5208,1.2378,0.4366
[39_ 40_ 44_ 47_ 261_ 473_ 700],2.0666,BPSO with ANN,7,0.3448,0.2394,0.2746,1.4855,1.2373,0.4507
[39_ 98_ 142_ 204_ 227_ 325_ 489],2.0655,BPSO with ANN,7,0.3448,0.2424,0.2926,1.467,1.1774,0.4648
[39_ 62_ 120_ 237_ 269_ 393_ 398_ 423_ 497_ 865],2.7037,BPSO with ANN,10,0.3444,0.2109,0.2432,1.5173,1.2299,0.4225
[5_ 39_ 44_ 140_ 157_ 187_ 197_ 220_ 344_ 423_ 433_ 527_ 553_ 563_ 692_ 852],3.9631,BPSO with ANN,16,0.3439,0.2113,0.2088,1.5514,1.2913,0.4789
[5_ 39_ 92_ 111_ 235_ 378_ 401_ 416_ 474_ 485_ 517_ 535_ 699],3.3352,BPSO with ANN,13,0.3439,0.2038,0.2302,1.5303,1.229,0.4648
[39_ 367_ 381_ 419_ 449_ 515_ 537_ 676_ 691_ 699_ 941],2.9119,BPSO with ANN,11,0.3435,0.2151,0.2346,1.526,1.2311,0.4789
[33_ 39_ 160_ 193_ 203_ 286_ 297_ 329_ 488_ 498_ 522_ 699_ 816],3.33,BPSO with ANN,13,0.3422,0.2198,0.2649,1.4955,1.2176,0.4507
[39_ 64_ 82_ 84_ 135_ 149_ 223_ 261_ 359_ 385_ 446_ 530_ 555_ 561],3.5318,BPSO with ANN,14,0.3421,0.2404,0.2768,1.4833,1.2342,0.4648
[39_ 183_ 209_ 271_ 331_ 373_ 429_ 478_ 615_ 690_ 697],2.9196,BPSO with ANN,11,0.3399,0.2015,0.2071,1.5531,1.2478,0.4789
[17_ 39_ 69_ 137_ 186_ 336_ 370_ 487_ 700],2.4818,BPSO with ANN,9,0.3392,0.2541,0.2444,1.5161,1.2574,0.4648
[3_ 39_ 40_ 46_ 50_ 65_ 111_ 125_ 270_ 359_ 366_ 432_ 567_ 930_ 941],3.7467,BPSO with ANN,15,0.339,0.2339,0.2407,1.5199,1.2593,0.4085
[39_ 59_ 276_ 293_ 301_ 309_ 406_ 411_ 465_ 496],2.6907,BPSO with ANN,10,0.339,0.254,0.2788,1.4813,1.2082,0.4366
[39_ 272_ 287_ 392_ 495_ 538_ 541_ 819_ 865_ 872_ 941],2.913,BPSO with ANN,11,0.3377,0.2224,0.2278,1.5327,1.2361,0.4648
[39_ 168_ 220_ 261_ 390_ 411_ 415_ 419_ 473_ 690],2.7116,BPSO with ANN,10,0.3359,0.2053,0.2491,1.5115,1.2646,0.4225
[39_ 114_ 132_ 139_ 148_ 223_ 302_ 341_ 357_ 373_ 385_ 491_ 540_ 880],3.5594,BPSO with ANN,14,0.3342,0.1851,0.2087,1.5516,1.2514,0.4507
[39_ 69_ 186_ 224_ 295_ 310_ 402_ 418_ 440],2.5032,BPSO with ANN,9,0.3334,0.2084,0.2342,1.5264,1.2604,0.3944
[39_ 153_ 211_ 317_ 319_ 343_ 357_ 376_ 381_ 501_ 691],2.9254,BPSO with ANN,11,0.3334,0.198,0.2573,1.5032,1.1962,0.4789
[6_ 39_ 69_ 90_ 114_ 120_ 135_ 166_ 171_ 281_ 363_ 372_ 378_ 410_ 458_ 459_ 464_ 475_ 541_ 550],4.8033,BPSO with ANN,20,0.3329,0.2424,0.2461,1.5145,1.2364,0.4507
[39_ 40_ 50_ 75_ 78_ 118_ 179_ 270_ 317_ 331_ 471_ 494_ 551_ 872_ 908],3.7568,BPSO with ANN,15,0.3327,0.2199,0.2269,1.5336,1.2688,0.4085
[39_ 168_ 196_ 251_ 278_ 349_ 464_ 542_ 865],2.5056,BPSO with ANN,9,0.3325,0.2037,0.2307,1.5298,1.2485,0.4507
[39_ 96_ 163_ 370_ 378_ 439_ 479_ 536_ 542_ 615_ 699],2.9239,BPSO with ANN,11,0.3319,0.2043,0.2412,1.5193,1.2253,0.493
[5_ 35_ 39_ 45_ 139_ 169_ 311_ 332_ 396_ 399_ 467_ 512_ 937],3.3489,BPSO with ANN,13,0.3307,0.1921,0.2126,1.5477,1.2531,0.4507
[39_ 79_ 139_ 141_ 168_ 232_ 284_ 287_ 295_ 435_ 453_ 471_ 492_ 494_ 566_ 648_ 816],4.1927,BPSO with ANN,17,0.3306,0.1885,0.1875,1.5722,1.2695,0.4648
[39_ 104_ 254_ 312_ 325_ 337_ 391_ 396_ 559_ 930],2.6993,BPSO with ANN,10,0.33,0.248,0.2789,1.4812,1.1976,0.4789
[31_ 39_ 71_ 90_ 105_ 132_ 160_ 186_ 261_ 351_ 435_ 472_ 495_ 528_ 540_ 928],3.9727,BPSO with ANN,16,0.3275,0.2157,0.2629,1.4975,1.2417,0.4648
[31_ 39_ 82_ 175_ 178_ 261_ 333_ 356_ 491_ 530],2.7163,BPSO with ANN,10,0.3262,0.2102,0.2502,1.5103,1.2441,0.4507
[16_ 39_ 77_ 129_ 162_ 255_ 276_ 289_ 420_ 426_ 434_ 494_ 517_ 553],3.5499,BPSO with ANN,14,0.3261,0.2229,0.2404,1.5201,1.2641,0.4648
[39_ 58_ 80_ 149_ 170_ 245_ 415_ 480_ 699],2.5149,BPSO with ANN,9,0.3255,0.1916,0.2347,1.5259,1.2272,0.4789
[39_ 76_ 133_ 158_ 234_ 282_ 298_ 345_ 538_ 551_ 554_ 700_ 864_ 865],3.5625,BPSO with ANN,14,0.3246,0.1937,0.2313,1.5292,1.2428,0.4366
[39_ 75_ 139_ 185_ 213_ 250_ 378_ 402_ 490_ 497_ 551_ 869],3.1492,BPSO with ANN,12,0.3244,0.1768,0.2111,1.5492,1.2562,0.4507
[39_ 66_ 102_ 112_ 127_ 256_ 319_ 345_ 458_ 464_ 479_ 489_ 524_ 615],3.5639,BPSO with ANN,14,0.3235,0.192,0.2374,1.5231,1.2335,0.4648
[39_ 42_ 53_ 62_ 136_ 141_ 178_ 248_ 250_ 542_ 865],2.9389,BPSO with ANN,11,0.3234,0.1806,0.2102,1.5501,1.2532,0.4648
[39_ 69_ 161_ 186_ 431_ 540_ 564],2.0915,BPSO with ANN,7,0.3233,0.2118,0.2458,1.5148,1.2358,0.4507
[39_ 46_ 72_ 242_ 308_ 359_ 385_ 398_ 529_ 546_ 648_ 865],3.1416,BPSO with ANN,12,0.322,0.2008,0.2294,1.5312,1.2457,0.4789
[5_ 39_ 139_ 159_ 220_ 314_ 350_ 491_ 574_ 696_ 826_ 930],3.1388,BPSO with ANN,12,0.3218,0.2083,0.2257,1.5348,1.2443,0.4507
[0_ 39_ 242_ 275_ 319_ 355_ 389_ 400_ 442_ 535_ 549],2.9334,BPSO with ANN,11,0.3216,0.198,0.2443,1.5162,1.216,0.493
[3_ 39_ 41_ 123_ 156_ 270_ 279_ 290_ 332_ 333_ 371_ 524_ 681_ 871],3.5574,BPSO with ANN,14,0.3206,0.2135,0.2277,1.5328,1.2545,0.4366
[39_ 113_ 130_ 141_ 199_ 242_ 270_ 317_ 331_ 362_ 390_ 423_ 526],3.3516,BPSO with ANN,13,0.3203,0.2032,0.2209,1.5395,1.2616,0.4366
[4_ 39_ 178_ 196_ 267_ 269_ 312_ 327_ 373_ 405_ 418_ 428_ 443_ 458_ 541_ 929],3.9828,BPSO with ANN,16,0.3201,0.2034,0.2097,1.5506,1.2518,0.4648
[39_ 55_ 73_ 180_ 241_ 386_ 451_ 461_ 473_ 538_ 553_ 699],3.1493,BPSO with ANN,12,0.3199,0.1844,0.2127,1.5477,1.2545,0.4507
[39_ 69_ 213_ 225_ 352_ 382_ 401_ 516_ 570],2.5132,BPSO with ANN,9,0.3194,0.2069,0.2374,1.5231,1.2503,0.4366
[39_ 200_ 218_ 314_ 479_ 699],1.595,BPSO with ANN,6,0.3189,0.1875,0.2268,1.5338,1.2378,0.4648
[39_ 42_ 47_ 116_ 169_ 217_ 415_ 434_ 438_ 463_ 485_ 703_ 865_ 867_ 906],3.779,BPSO with ANN,15,0.3187,0.1886,0.2261,1.5344,1.2391,0.4507
[39_ 44_ 82_ 96_ 137_ 297_ 395_ 438_ 452_ 538_ 561_ 699_ 872],3.3656,BPSO with ANN,13,0.3186,0.1704,0.1912,1.5686,1.278,0.4789
[6_ 20_ 39_ 119_ 126_ 139_ 188_ 281_ 295_ 316_ 343_ 349_ 513_ 519_ 538_ 545],3.9955,BPSO with ANN,16,0.3184,0.1749,0.2052,1.555,1.2622,0.4507
